parcel_id,city,lot_sqft,zoning
050002720327,Cincinnati,9713.880000000001,510
050002720328,Cincinnati,9757.44,510
004200080136,Cincinnati,9670.32,510
004200080023,Cincinnati,5619.24,510
004200080073,Cincinnati,5749.92,510
050002720336,Cincinnati,958.3199999999999,508
055100010019,Cincinnati,7013.16,520
022700010110,Cincinnati,28357.56,403
050003430258,Cincinnati,14418.36,510
050003430281,Cincinnati,12980.88,510
050003430282,Cincinnati,12763.08,510
050003430283,Cincinnati,13634.28,510
050003430284,Cincinnati,18730.8,510
050003430285,Cincinnati,17859.6,510
000200080062,Cincinnati,7535.879999999999,510
000200080063,Cincinnati,6969.6,510
000200080064,Cincinnati,9016.92,510
000200080065,Cincinnati,6621.12,510
000200080066,Cincinnati,7318.080000000001,510
000200080075,Cincinnati,8842.68,510
050002720460,Cincinnati,13242.24,510
050002720461,Cincinnati,17206.2,510
050002720462,Cincinnati,23261.04,510
050002720463,Cincinnati,18600.12,510
050002720464,Cincinnati,14897.52,510
050002720465,Cincinnati,14200.560000000001,510
050003300013,Cincinnati,24132.24,501
065100260007,Cincinnati,5183.639999999999,404
065100260008,Cincinnati,5314.32,420
060300180033,Cincinnati,111600.71999999999,510
060300180062,Cincinnati,46914.119999999995,556
060300180076,Cincinnati,46217.159999999996,556
050003430286,Cincinnati,13634.28,510
050003430288,Cincinnati,17293.32,510
062001200038,Cincinnati,14679.720000000001,510
062001200066,Cincinnati,42863.04,500
062001200067,Cincinnati,42906.6,500
062001200068,Cincinnati,28052.64,500
050003410044,Cincinnati,19602.0,510
050003410045,Cincinnati,7361.64,510
050003410046,Cincinnati,10672.199999999999,510
050003410047,Cincinnati,10802.88,510
050003410048,Cincinnati,20473.199999999997,510
050003410049,Cincinnati,33105.6,510
050003410051,Cincinnati,914.7600000000001,500
050003410053,Cincinnati,12371.039999999999,510
050003320078,Cincinnati,30753.359999999997,510
050003320079,Cincinnati,27660.600000000002,510
050003320080,Cincinnati,33976.8,510
050003320082,Cincinnati,36198.36,510
050003320083,Cincinnati,88993.08,510
050003320089,Cincinnati,21300.84,510
050003320090,Cincinnati,1829.5200000000002,500
050003320097,Cincinnati,20298.960000000003,510
000200070087,Cincinnati,8450.64,510
055100010047,Cincinnati,6795.36,510
